task_id,lane_order,lane,section_order,section_id,section,owner,task_order,task
brand-strategy::0,1,DIRECTION,1,brand-strategy,Brand strategy,JP,1,Content finished
brand-strategy::1,1,DIRECTION,1,brand-strategy,Brand strategy,JP,2,Guidelines finalised
brand-strategy::2,1,DIRECTION,1,brand-strategy,Brand strategy,JP,3,Signed off
foundations::0,1,DIRECTION,2,foundations,Foundations,JP,1,Content finished
foundations::1,1,DIRECTION,2,foundations,Foundations,JP,2,Guidelines finalised
foundations::2,1,DIRECTION,2,foundations,Foundations,JP,3,Signed off
logo::0,1,DIRECTION,3,logo,Logo,Danny,1,Content finished
logo::1,1,DIRECTION,3,logo,Logo,Danny,2,Guidelines finalised
logo::2,1,DIRECTION,3,logo,Logo,Danny,3,Accessibility notes
logo::3,1,DIRECTION,3,logo,Logo,Danny,4,Signed off
color::0,1,DIRECTION,4,color,Color,Yin,1,Content finished
color::1,1,DIRECTION,4,color,Color,Yin,2,Guidelines finalised
color::2,1,DIRECTION,4,color,Color,Yin,3,Accessibility notes
color::3,1,DIRECTION,4,color,Color,Yin,4,Signed off
typography::0,1,DIRECTION,5,typography,Typography,JP,1,Content finished
typography::1,1,DIRECTION,5,typography,Typography,JP,2,Guidelines finalised
typography::2,1,DIRECTION,5,typography,Typography,JP,3,Accessibility notes
typography::3,1,DIRECTION,5,typography,Typography,JP,4,Signed off
shape-language::0,2,VISUAL LANGUAGE,6,shape-language,Shape language,Danny,1,Content finished
shape-language::1,2,VISUAL LANGUAGE,6,shape-language,Shape language,Danny,2,Guidelines finalised
shape-language::2,2,VISUAL LANGUAGE,6,shape-language,Shape language,Danny,3,Accessibility notes
shape-language::3,2,VISUAL LANGUAGE,6,shape-language,Shape language,Danny,4,Signed off
iconography::0,2,VISUAL LANGUAGE,7,iconography,Iconography,Yin,1,Content finished
iconography::1,2,VISUAL LANGUAGE,7,iconography,Iconography,Yin,2,Guidelines finalised
iconography::2,2,VISUAL LANGUAGE,7,iconography,Iconography,Yin,3,Accessibility notes
iconography::3,2,VISUAL LANGUAGE,7,iconography,Iconography,Yin,4,Signed off
illustration::0,2,VISUAL LANGUAGE,8,illustration,Illustration,JP,1,Content finished
illustration::1,2,VISUAL LANGUAGE,8,illustration,Illustration,JP,2,Guidelines finalised
illustration::2,2,VISUAL LANGUAGE,8,illustration,Illustration,JP,3,Accessibility notes
illustration::3,2,VISUAL LANGUAGE,8,illustration,Illustration,JP,4,Signed off
sky-gradient::0,2,VISUAL LANGUAGE,9,sky-gradient,Sky Gradient,Danny,1,Content finished
sky-gradient::1,2,VISUAL LANGUAGE,9,sky-gradient,Sky Gradient,Danny,2,Guidelines finalised
sky-gradient::2,2,VISUAL LANGUAGE,9,sky-gradient,Sky Gradient,Danny,3,Accessibility notes
sky-gradient::3,2,VISUAL LANGUAGE,9,sky-gradient,Sky Gradient,Danny,4,Signed off
photography::0,3,IMAGERY & EXPRESSION,10,photography,Photography,Yin,1,Content finished
photography::1,3,IMAGERY & EXPRESSION,10,photography,Photography,Yin,2,Guidelines finalised
photography::2,3,IMAGERY & EXPRESSION,10,photography,Photography,Yin,3,Accessibility notes
photography::3,3,IMAGERY & EXPRESSION,10,photography,Photography,Yin,4,Signed off
motion::0,3,IMAGERY & EXPRESSION,11,motion,Motion,Danny,1,Content finished
motion::1,3,IMAGERY & EXPRESSION,11,motion,Motion,Danny,2,Guidelines finalised
motion::2,3,IMAGERY & EXPRESSION,11,motion,Motion,Danny,3,Accessibility notes
motion::3,3,IMAGERY & EXPRESSION,11,motion,Motion,Danny,4,Signed off
image-ratio::0,3,IMAGERY & EXPRESSION,12,image-ratio,Image ratio,Yin,1,Content finished
image-ratio::1,3,IMAGERY & EXPRESSION,12,image-ratio,Image ratio,Yin,2,Guidelines finalised
image-ratio::2,3,IMAGERY & EXPRESSION,12,image-ratio,Image ratio,Yin,3,Accessibility notes
image-ratio::3,3,IMAGERY & EXPRESSION,12,image-ratio,Image ratio,Yin,4,Signed off
tone-of-voice::0,3,IMAGERY & EXPRESSION,13,tone-of-voice,Tone of voice,JP,1,Content finished
tone-of-voice::1,3,IMAGERY & EXPRESSION,13,tone-of-voice,Tone of voice,JP,2,Guidelines finalised
tone-of-voice::2,3,IMAGERY & EXPRESSION,13,tone-of-voice,Tone of voice,JP,3,Accessibility notes
tone-of-voice::3,3,IMAGERY & EXPRESSION,13,tone-of-voice,Tone of voice,JP,4,Signed off
spacing::0,4,SYSTEM & APPLICATION,14,spacing,Spacing,Yin,1,Content finished
spacing::1,4,SYSTEM & APPLICATION,14,spacing,Spacing,Yin,2,Guidelines finalised
spacing::2,4,SYSTEM & APPLICATION,14,spacing,Spacing,Yin,3,Accessibility notes
spacing::3,4,SYSTEM & APPLICATION,14,spacing,Spacing,Yin,4,Signed off
radius::0,4,SYSTEM & APPLICATION,15,radius,Radius,Yin,1,Content finished
radius::1,4,SYSTEM & APPLICATION,15,radius,Radius,Yin,2,Guidelines finalised
radius::2,4,SYSTEM & APPLICATION,15,radius,Radius,Yin,3,Accessibility notes
radius::3,4,SYSTEM & APPLICATION,15,radius,Radius,Yin,4,Signed off
borders-dividers::0,4,SYSTEM & APPLICATION,16,borders-dividers,Borders & dividers,Yin,1,Content finished
borders-dividers::1,4,SYSTEM & APPLICATION,16,borders-dividers,Borders & dividers,Yin,2,Guidelines finalised
borders-dividers::2,4,SYSTEM & APPLICATION,16,borders-dividers,Borders & dividers,Yin,3,Accessibility notes
borders-dividers::3,4,SYSTEM & APPLICATION,16,borders-dividers,Borders & dividers,Yin,4,Signed off
conceptual-screens::0,4,SYSTEM & APPLICATION,17,conceptual-screens,Example conceptual screens,All,1,Content finished
conceptual-screens::1,4,SYSTEM & APPLICATION,17,conceptual-screens,Example conceptual screens,All,2,Guidelines finalised
conceptual-screens::2,4,SYSTEM & APPLICATION,17,conceptual-screens,Example conceptual screens,All,3,Accessibility notes
conceptual-screens::3,4,SYSTEM & APPLICATION,17,conceptual-screens,Example conceptual screens,All,4,Signed off
